benchmark,topology,intervention,metric,n,positive,rate,wilson95_low,wilson95_high
MUSE-Books,hierarchical,global_context,target_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,global_context,target_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,global_context,system_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,global_context,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,global_context,target_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,hierarchical,global_context,system_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,hierarchical,none,target_exact,40,3,0.075,0.025835556771858226,0.19864530159097524
MUSE-Books,hierarchical,none,target_positive,40,3,0.075,0.025835556771858226,0.19864530159097524
MUSE-Books,hierarchical,none,system_exact,40,1,0.025,0.0044267174077949195,0.1288165948800778
MUSE-Books,hierarchical,none,system_positive,40,1,0.025,0.0044267174077949195,0.1288165948800778
MUSE-Books,hierarchical,none,target_positive_content,40,22,0.55,0.39828829888440775,0.6929492471905531
MUSE-Books,hierarchical,none,system_positive_content,40,18,0.45,0.30705075280944694,0.6017117011155924
MUSE-Books,hierarchical,target_context,target_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context,target_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context,system_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context,target_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,hierarchical,target_context,system_positive_content,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127
MUSE-Books,hierarchical,target_context_comm,target_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context_comm,target_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context_comm,system_exact,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context_comm,system_positive,30,2,0.06666666666666667,0.01847663532769335,0.21323817721072091
MUSE-Books,hierarchical,target_context_comm,target_positive_content,30,7,0.23333333333333334,0.11792239210501232,0.40928672330324267
MUSE-Books,hierarchical,target_context_comm,system_positive_content,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127
MUSE-Books,hierarchical,target_context_memory,target_exact,40,6,0.15,0.07061091708507435,0.2907262603902003
MUSE-Books,hierarchical,target_context_memory,target_positive,40,6,0.15,0.07061091708507435,0.2907262603902003
MUSE-Books,hierarchical,target_context_memory,system_exact,40,3,0.075,0.025835556771858226,0.19864530159097524
MUSE-Books,hierarchical,target_context_memory,system_positive,40,3,0.075,0.025835556771858226,0.19864530159097524
MUSE-Books,hierarchical,target_context_memory,target_positive_content,40,15,0.375,0.2422277353579172,0.529678399454681
MUSE-Books,hierarchical,target_context_memory,system_positive_content,40,20,0.5,0.35199278797099753,0.6480072120290025
MUSE-Books,hierarchical,target_memory,target_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory,target_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory,system_exact,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory,system_positive,30,0,0.0,-1.3877787807814457e-17,0.113517091390478
MUSE-Books,hierarchical,target_memory,target_positive_content,30,15,0.5,0.33153851227173764,0.6684614877282624
